,X,Y,Z,w,p,r
11-1번,-606.89,-1005.088,-30,0,0,-120.714
11-2번,-598.7,-991.304,-30,0,0,-120.714
11-3번,-588.7,-991.304,-30,0,0,-120.714
11-1번 센서,-429.034,-926.437,-60,0,0,-120.714
11-4번,-577.07,-954.899,-30,0,0,-118.149
11-5번,-675.298,-972.408,-30,0,0,-124.372
11-6번,-654.405,-941.86,-30,0,0,-1424.372
11-7번,-640.864,-922.06,-30,0,0,-124.372
11-2번 센서,-482.865,-899.553,-60,0,0,-118.149
12-1번,-733.487,-937.099,-30,0,0,-127.646
12-2번,-730.268,-923.773,-30,0,0,-127.917
12-3번,-718.243,-908.336,-30,0,0,-127.917
12-1번 센서,-540.059,-866.424,-60,0,0,-121.859
12-4번,-692.07,-874.738,-30,0,0,-127.917
12-5번,-799.608,-883.646,-30,0,0,-131.741
12-6번,-773.499,-854.358,-30,0,0,-131.74
12-7번,-759.349,-838.526,-30,0,0,-131.74
12-2번 센서,-591.48,-832.169,-60,0,0,-125.327
