Pocket Name   ,             x             ,             y             ,             z             ,             Rx            ,             Ry            ,             Rz            ,             Distance      ,             Alfa
101.1         ,              0            ,              0            ,             -30           ,              0            ,              0            ,              0            ,              1197.94472649826           ,              45.0513139947981 
101.2         ,              821.555198760111           ,             -823.096332440309           ,              885.549      ,              0.0019       ,              0.291        ,              134.9489     ,              1162.94476097812           ,              45.0536988192305 
101.3         ,              800.331654840331           ,             -801.893474531878           ,              885.549      ,              0.0019       ,              0.291        ,              134.9489     ,              1132.94479222788           ,              45.0558602317045 
101.4         ,              782.645368239431           ,             -784.224426275933           ,              885.549      ,              0.0019       ,              0.291        ,              134.9489     ,              1107.94481956208           ,              45.0577508218114 
101.5         ,              801.670791858367           ,             -909.99889254338            ,              885.549      ,              0.0019       ,              0.291        ,              131.3789     ,              1212.75473322061           ,              48.6213139947981 
101.6         ,              785.123496933683           ,             -891.258907733478           ,              885.549      ,              0.0019       ,              0.291        ,              131.3789     ,              1187.75474995962           ,              48.6226950868446 
101.7         ,              765.266743019007           ,             -868.770925966049           ,              885.549      ,              0.0019       ,              0.291        ,              131.3789     ,              1157.75477100067           ,              48.6244311293435 
101.8         ,              742.100530122105           ,             -842.534947234251           ,              885.549      ,              0.0019       ,              0.291        ,              131.3789     ,              1122.75479696973           ,              48.6265737680689 
102.1         ,              734.274174496941           ,             -946.286352790435           ,              888.367818181818           ,              2.42727272727273E-03       ,              0.264281818181818          ,              127.955466093611           ,              1197.75474318017           ,              52.1902121804943 
102.2         ,              712.773303403164           ,             -918.669073774685           ,              888.367818181818           ,              2.42727272727273E-03       ,              0.264281818181818          ,              127.954696117148           ,              1162.75476741843           ,              52.1929819931654 
102.3         ,              694.343985267514           ,             -894.997118989944           ,              888.367818181818           ,              2.42727272727273E-03       ,              0.264281818181818          ,              127.953998305663           ,              1132.75478938624           ,              52.1954923113964 
102.4         ,              678.986220111133           ,             -875.270488980016           ,              888.367818181818           ,              2.42727272727273E-03       ,              0.264281818181818          ,              127.953387954823           ,              1107.75480860167           ,              52.1976880768938 
102.5         ,              682.358732011385           ,             -1002.57698148163           ,              888.367818181818           ,              2.42727272727273E-03       ,              0.264281818181818          ,              124.384237051652           ,              1212.75473322061           ,              55.7606194855445 
102.6         ,              668.264012208405           ,             -981.928997452857           ,              888.367818181818           ,              2.42727272727273E-03       ,              0.264281818181818          ,              124.383959102257           ,              1187.75474995962           ,              55.7622785271204 
102.7         ,              651.350348298851           ,             -957.151416206333           ,              888.367818181818           ,              2.42727272727273E-03       ,              0.264281818181818          ,              124.383609723464           ,              1157.75477100067           ,              55.7643639482498 
102.8         ,              631.617740199215           ,             -928.244237463486           ,              888.367818181818           ,              2.42727272727273E-03       ,              0.264281818181818          ,              124.383178526271           ,              1122.75479696973           ,              55.7669377842052 
103.1         ,              610.884338481324           ,             -1030.08003814783           ,              891.186636363636           ,              2.95454545454545E-03       ,              0.237563636363636          ,              120.801700764118           ,              1197.59949899472           ,              59.3301425041788 
103.2         ,              592.975565977513           ,             -1000.00880423472           ,              891.186636363636           ,              2.95454545454545E-03       ,              0.237563636363636          ,              120.800098317913           ,              1162.59951418935           ,              59.333328551722 
103.3         ,              577.625189601985           ,             -974.233458198909           ,              891.186636363636           ,              2.95454545454545E-03       ,              0.237563636363636          ,              120.798646037516           ,              1132.59952796076           ,              59.3362161044051 
103.4         ,              564.833209330774           ,             -952.754001125365           ,              891.186636363636           ,              2.95454545454545E-03       ,              0.237563636363636          ,              120.797375763161           ,              1107.59954000681           ,              59.3387418316608 
103.5         ,              552.375967125969           ,             -1079.4805791501            ,              891.186636363636           ,              2.95454545454545E-03       ,              0.237563636363636          ,              117.230247637334           ,              1212.59949275125           ,              62.900944929427 
103.6         ,              540.951572510038           ,             -1057.24357472905           ,              891.186636363636           ,              2.95454545454545E-03       ,              0.237563636363636          ,              117.229382771452           ,              1187.59950324465           ,              62.9029034297458 
103.7         ,              527.24229879991            ,             -1030.5591680281            ,              891.186636363636           ,              2.95454545454545E-03       ,              0.237563636363636          ,              117.228295646421           ,              1157.59951643501           ,              62.9053652691377 
103.8         ,              511.248145896716           ,             -999.427358124966           ,              891.186636363636           ,              2.95454545454545E-03       ,              0.237563636363636          ,              117.226953934454           ,              1122.5995327148            ,              62.9084036785668 
104.1         ,              478.052730676394           ,             -1097.91953479758           ,              894.005454545455           ,              3.48181818181818E-03       ,              0.210845454545455          ,              113.646300391537           ,              1197.48140620107           ,              66.4708903494047 
104.2         ,              464.012731191248           ,             -1065.85891347917           ,              894.005454545455           ,              3.48181818181818E-03       ,              0.210845454545455          ,              113.643815950544           ,              1162.48141410973           ,              66.4745173943403 
104.3         ,              451.978446251405           ,             -1038.37837692396           ,              894.005454545455           ,              3.48181818181818E-03       ,              0.210845454545455          ,              113.641564299735           ,              1132.48142127766           ,              66.4778046322346 
104.4         ,              441.949875721009           ,             -1015.47792674829           ,              894.005454545455           ,              3.48181818181818E-03       ,              0.210845454545455          ,              113.639594813966           ,              1107.48142754758           ,              66.4806799651977 
104.5         ,              413.856360971566           ,             -1139.66401407889           ,              894.005454545455           ,              3.48181818181818E-03       ,              0.210845454545455          ,              110.074636465796           ,              1212.48140295142           ,              70.0420847813406 
104.6         ,              405.278788809119           ,             -1116.18152585868           ,              894.005454545455           ,              3.48181818181818E-03       ,              0.210845454545455          ,              110.073150377748           ,              1187.48140841312           ,              70.0443599485552 
