3-4번,,481.556 ,-1009.571 ,-30.000 ,0.000 ,0.000 ,-64.066 ,483.125 ,-1018.922 ,472.500 ,0.000 ,0.000 ,-64.202 ,483.125 ,-1018.922 ,966.235 ,0.000 ,-2.238 ,-64.202 
3-5번,,440.738 ,-1095.535 ,-30.000 ,0.000 ,0.000 ,-67.675 ,444.028 ,-1103.560 ,472.500 ,0.000 ,0.000 ,-67.675 ,446.424 ,-1109.396 ,968.722 ,0.000 ,-2.238 ,-67.675 
3-6번,,429.579 ,-1068.364 ,-30.000 ,0.000 ,0.000 ,-67.675 ,435.647 ,-1083.147 ,472.500 ,0.000 ,0.000 ,-67.675 ,438.460 ,-1089.998 ,967.902 ,0.000 ,-2.238 ,-67.676 
3-7번,,419.076 ,-1042.792 ,-30.000 ,0.000 ,0.000 ,-67.675 ,421.337 ,-1048.296 ,472.500 ,0.000 ,0.000 ,-67.676 ,424.327 ,-1055.578 ,966.449 ,0.000 ,-2.238 ,-67.676 
3-2번 센서,,481.487 ,-900.290 ,-60.000 ,0.000 ,0.000 ,-61.784 ,481.487 ,-900.290 ,434.000 ,0.000 ,0.000 ,-61.784 ,481.487 ,-900.290 ,931.341 ,0.000 ,-2.239 ,-61.784 
4-1번,,372.060 ,-1117.758 ,-30.000 ,0.000 ,0.000 ,-71.179 ,374.163 ,-1123.930 ,472.500 ,0.000 ,0.000 ,-71.179 ,375.588 ,-1128.110 ,968.454 ,0.000 ,-2.238 ,-71.179 
4-2번,,364.813 ,-1096.495 ,-30.000 ,0.000 ,0.000 ,-71.179 ,369.068 ,-1108.978 ,472.500 ,0.000 ,0.000 ,-71.179 ,369.068 ,-1108.978 ,967.664 ,0.000 ,-2.238 ,-71.179 
4-3번,,359.796 ,-1081.774 ,-30.000 ,0.000 ,0.000 ,-71.179 ,363.409 ,-1092.375 ,472.500 ,0.000 ,0.000 ,-71.179 ,363.409 ,-1092.375 ,966.979 ,0.000 ,-2.238 ,-71.179 
4-1번 센서,,423.042 ,-929.187 ,-60.000 ,0.000 ,0.000 ,-65.444 ,423.042 ,-929.187 ,434.000 ,0.000 ,0.000 ,-65.444 ,423.042 ,-929.187 ,931.341 ,0.000 ,-2.239 ,-65.444 
4-4번,,352.549 ,-1060.511 ,-30.000 ,0.000 ,0.000 ,-71.179 ,355.894 ,-1070.325 ,472.500 ,0.000 ,0.000 ,-71.179 ,355.894 ,-1070.325 ,966.068 ,0.000 ,-2.238 ,-71.179 
