,X,Y,Z,w,p,r
1-1번,753.009,-911.299,964.91,0,-2.24,-50.367
1-2번,745.403,-902.116,964.444,0,-2.24,-50.367
1-3번,735.044,-889.61,963.809,0,-2.24,-50.367
1-1번 센서,730.375,-713.375,931.341,0,-2.239,-44.248
1-4번,717.253,-868.133,962.72,0,-2.239,-50.366
1-5번,706.141,-965.032,965.425,0,-2.239,-53.74
1-6번,689.2,-941.935,964.306,0,-2.239,-53.74
1-7번,672.908,-919.723,963.23,0,-2.239,-53.74
1-2번 센서,685.752,-756.371,931.341,0,-2.239,-47.726
2-1번,641.203,-1001.05,965.14,0,-2.239,-57.293
2-2번,632.318,-987.214,964.497,0,-2.239,-57.293
2-3번,620.582,-968.938,964.497,0,-2.239,-57.293
2-1번 센서,638.042,-797.029,931.341,0,-2.239,-51.244
2-4번,608.735,-950.489,962.792,0,-2.239,-57.293
2-5번,582.027,-1049.384,969.078,0,-2.239,-60.7
2-6번,567.144,-1022.862,967.89,0,-2.239,-60.7
2-7번,551.416,-994.837,966.635,0,-2.239,-60.7
2-2번 센서,589.321,-833.698,931.341,0,-2.239,-54.667
3-1번,509.857,-1074.267,968.653,0,-2.239,-64.23
3-2번,500.463,-1054.832,967.81,0,-2.239,-64.203
3-3번,491.982,-1037.246,967.03,0,-2.238,-64.202
3-1번 센서,532.922,-870.831,931.341,0,-2.239,-58.457
3-4번,483.125,-1018.922,966.235,0,-2.238,-64.202
3-5번,446.424,-1109.396,968.722,0,-2.238,-67.675
3-6번,438.46,-1089.998,967.902,0,-2.238,-67.676
3-7번,424.327,-1055.578,966.449,0,-2.238,-67.676
3-2번 센서,481.487,-900.29,931.341,0,-2.239,-61.784
4-1번,375.588,-1128.11,968.454,0,-2.238,-71.179
4-2번,369.068,-1108.978,967.664,0,-2.238,-71.179
4-3번,363.409,-1092.375,966.979,0,-2.238,-71.179
4-1번 센서,423.042,-929.187,931.341,0,-2.239,-65.444
4-4번,355.894,-1070.325,966.068,0,-2.238,-71.179
4-5번,306.389,-1161.737,968.94,0,-2.238,-74.824
4-6번,299.052,-1134.691,967.845,0,-2.238,-74.823
4-7번,289.562,-1099.709,966.429,0,-2.238,-74.824
4-2번 센서,366.899,-952.753,931.341,0,-2.239,-68.861
5-1번,234.064,-1172.02,968.694,0,-2.238,-78.302
