,X,Y,Z,w,p,r
5-2번,229.661,-1150.748,967.845,0,-2.238,-78.302
5-3번,224.673,-1126.658,966.885,0,-2.238,-78.302
5-1번 센서,304.396,-974.523,931.341,0,-2.239,-72.576
5-4번,220.936,-1108.608,966.165,0,-2.238,-78.302
5-5번,164.219,-1191.282,968.983,0,-2.238,-81.75
5-6번,159.096,-1155.958,967.589,0,-2.238,-81.75
5-7번,154.858,-1126.735,966.435,0,-2.238,-81.75
5-2번 센서,248.462,-990.262,931.341,0,-2.239,-75.837
6-1번,88.626,-1189.39,968.598,0,-2.238,-85.334
6-2번,86.764,-1166.581,967.704,0,-2.238,-85.334
6-3번,85.242,-1147.938,966.973,0,-2.238,-85.334
6-1번 센서,183.159,-1004.393,931.341,0,-2.239,-79.588
6-4번,83.715,-1129.227,966.239,0,-2.238,-85.334
6-5번,15.425,-1201.08,968.929,0,-2.238,-88.862
6-6번,14.73,-1166.077,967.562,0,-2.238,-88.862
6-7번,14.07,-1132.855,966.263,0,-2.238,-88.862
6-2번 센서,124.831,-1013.297,931.341,0,-2.239,-82.899
7-1번,-54.935,-1187.104,968.405,0,-2.235,-92.243
7-2번,-54.136,-1166.701,967.608,0,-2.235,-92.243
7-3번,-53.449,-1149.174,966.923,0,-2.235,-92.243
7-1번 센서,58.112,-1019.302,931.331,0,-2.238,-86.66
7-4번,-52.719,-1130.522,966.195,0,-2.235,-92.243
7-5번,-129.984,-1194.824,968.933,0,-2.235,-95.807
7-6번,-126.67,-1162.24,967.654,0,-2.235,-95.807
7-7번,-123.98,-1135.791,966.615,0,-2.235,-95.807
7-2번 센서,-3.384,-1020.952,931.331,0,-2.238,-90.112
8-1번,-202.496,-1172.741,968.473,0,-2.235,-99.391
8-2번,-199.51,-1154.689,967.758,0,-2.235,-99.371
8-3번,-196.257,-1135.015,966.979,0,-2.235,-99.391
8-1번 센서,-67.466,-1018.726,966.979,0,-2.238,-93.711
8-4번,-192.959,-1115.07,966.189,0,-2.235,-99.391
8-5번,-279.774,-1170.13,968.981,0,-2.235,-103.045
8-6번,-271.931,-1136.285,967.624,0,-2.235,-103.045
8-7번,-264.708,-1105.111,966.374,0,-2.235,-103.045
8-2번 센서,-125.312,-1013.238,931.331,0,-2.238,-96.973
9-1번,-347.736,-1139.227,968.513,0,-2.235,-106.569
9-2번,-341.562,-1118.474,967.667,0,-2.235,-106.569
9-3번,-335.738,-1098.904,966.869,0,-2.235,-106.569
9-1번 센서,-191.582,-1002.821,931.331,0,-2.238,-100.738
9-4번,-329.662,-1078.479,966.036,0,-2.235,-106.569
9-5번,-418.403,-1124.21,968.842,0,-2.235,-110.012
9-6번,-406.727,-1092.147,967.509,0,-2.235,-110.012
9-7번,-396.528,-1064.14,966.345,0,-2.235,-110.012
9-2번 센서,-249.281,-990.057,931.331,0,-2.238,-104.055
10-1번,-481.903,-1086.135,968.4,0,-2.235,-113.52
10-2번,-473.973,-1067.914,967.624,0,-2.235,-113.52
10-3번,-466.727,-1051.264,966.914,0,-2.235,-113.52
10-1번 센서,-313.675,-971.577,931.331,0,-2.238,-107.815
10-4번,-458.633,-1032.666,966.122,0,-2.235,-113.52
10-5번,-550.33,-1064.318,968.772,0,-2.234,-116.94
10-6번,-537.014,-1038.111,967.632,0,-2.234,-116.94
10-7번,-523.294,-1011.111,966.44,0,-2.234,-116.94
10-2번 센서,-368.524,-952.126,931.331,0,-2.238,-111.082
11-1번,-611.92,-1018.883,968.394,0,-2.234,-120.583
11-2번,-602.612,-1003.134,967.68,0,-2.234,-120.583
11-3번,-592.852,-986.618,966.93,0,-2.234,-120.583
11-1번 센서,-429.034,-926.437,931.331,0,-2.238,-114.771
11-4번,-582.533,-969.158,966.138,0,-2.234,-120.583
11-5번,-679.029,-987.942,968.796,0,-2.234,-124.099
11-6번,-662.048,-962.865,967.612,0,-2.234,-124.099
11-7번,-642.148,-933.475,966.226,0,-2.234,-124.099
11-2번 센서,-482.865,-899.553,931.331,0,-2.238,-118.149
12-1번,-733.487,-937.099,968.453,0,-2.234,-127.646
12-2번,-719.466,-918.925,967.556,0,-2.234,-127.646
12-3번,-707.538,-903.464,966.793,0,-2.234,-127.646
12-1번 센서,-540.059,-866.424,931.331,0,-2.238,-121.859
12-4번,-695.317,-887.622,966.011,0,-2.234,-127.646
12-5번,-796.911,-895.846,968.803,0,-2.234,-131.252
12-6번,-778.187,-874.498,967.694,0,-2.234,-131.253
12-7번,-754.782,-847.814,966.308,0,-2.234,-131.253
12-2번 센서,-591.48,-832.169,931.331,0,-2.238,-125.327
