Pocket Name   ,             x             ,             y             ,             z             ,             Rx            ,             Ry            ,             Rz            ,             Distance      ,             Alfa
101.1         ,              827.748      ,             -832.541      ,              884.496      ,              0.2076       ,             -0.2642       ,              134.8346     ,              1174.00650261615           ,              45.1654130751123 
101.2         ,              816.106949535878           ,             -820.847585439165           ,              884.496      ,              0.2076       ,             -0.2642       ,              134.8346     ,              1157.50650607332           ,              45.1659380550759 
101.3         ,              802.70210353262            ,             -807.382441413601           ,              884.496      ,              0.2076       ,             -0.2642       ,              134.8346     ,              1138.50651017844           ,              45.1665614282007 
101.4         ,              786.827943799193           ,             -791.436876112939           ,              884.496      ,              0.2076       ,             -0.2642       ,              134.8346     ,              1116.00651522053           ,              45.167327083696 
101.5         ,              780.829569721941           ,             -889.908027336738           ,              884.496      ,              0.2076       ,             -0.2642       ,              131.2646     ,              1183.90502747075           ,              48.7354130751123 
101.6         ,              763.99722523272            ,             -870.752814495419           ,              884.496      ,              0.2076       ,             -0.2642       ,              131.2646     ,              1158.40503456908           ,              48.7363439626878 
101.7         ,              743.204329098656           ,             -847.090492750543           ,              884.496      ,              0.2076       ,             -0.2642       ,              131.2646     ,              1126.90504378113           ,              48.7375520467561 
102.1         ,              717.927563859124           ,             -928.780400859973           ,              884.494454545455           ,              0.2129       ,             -0.276545454545455          ,              127.782728771738           ,              1173.90503021765           ,              52.2967478815101 
102.2         ,              707.829563352457           ,             -915.731250940602           ,              884.494454545455           ,              0.2129       ,             -0.276545454545455          ,              127.782894801235           ,              1157.40503485382           ,              52.2971898469575 
102.3         ,              696.201562853898           ,             -900.704957127676           ,              884.494454545455           ,              0.2129       ,             -0.276545454545455          ,              127.783091950985           ,              1138.40504035891           ,              52.2977146449773 
102.4         ,              682.4315624184             ,             -882.910661847673           ,              884.494454545455           ,              0.2129       ,             -0.276545454545455          ,              127.783334105828           ,              1115.90504712055           ,              52.2983592230308 
102.5         ,              664.306259094292           ,             -979.963421867705           ,              884.494454545455           ,              0.2129       ,             -0.276545454545455          ,              124.212011651768           ,              1183.90502747075           ,              55.8671047676277 
102.6         ,              649.984278333709           ,             -958.865299212563           ,              884.494454545455           ,              0.2129       ,             -0.276545454545455          ,              124.212131952573           ,              1158.40503456908           ,              55.8679153544003 
102.7         ,              632.292419852481           ,             -932.802912461381           ,              884.494454545455           ,              0.2129       ,             -0.276545454545455          ,              124.212288078906           ,              1126.90504378113           ,              55.8689673121117 
103.1         ,              597.000805469561           ,             -1010.62946669124           ,              884.492909090909           ,              0.2182       ,             -0.288890909090909          ,              120.655895068475           ,              1173.78953849313           ,              59.4287420809416 
103.2         ,              588.602341958723           ,             -996.426802344822           ,              884.492909090909           ,              0.2182       ,             -0.288890909090909          ,              120.656208370328           ,              1157.28954431915           ,              59.4291104102119 
103.3         ,              578.931384157384           ,             -980.072219223269           ,              884.492909090909           ,              0.2182       ,             -0.288890909090909          ,              120.656580399757           ,              1138.28955123712           ,              59.4295477683886 
103.4         ,              567.47893442689            ,             -960.704949812102           ,              884.492909090909           ,              0.2182       ,             -0.288890909090909          ,              120.657037358083           ,              1115.78955973416           ,              59.4300849447014 
103.5         ,              537.439529856866           ,             -1054.7589369237            ,              884.492909090909           ,              0.2182       ,             -0.288890909090909          ,              117.084781168425           ,              1183.78953504125           ,              62.9994521189862 
103.6         ,              525.849860775102           ,             -1032.04485928324           ,              884.492909090909           ,              0.2182       ,             -0.288890909090909          ,              117.085120125214           ,              1158.28954396133           ,              63.0001567915314 
103.7         ,              511.533211099602           ,             -1003.98629293974           ,              884.492909090909           ,              0.2182       ,             -0.288890909090909          ,              117.085560030621           ,              1126.78955553766           ,              63.0010712904622 
104.1         ,              466.841707361792           ,             -1076.81979568143           ,              884.491363636364           ,              0.2235       ,             -0.301236363636364          ,              113.527582570179           ,              1173.66181334483           ,              66.56147567789 
104.2         ,              460.272930433609           ,             -1061.68371366707           ,              884.491363636364           ,              0.2235       ,             -0.301236363636364          ,              113.528022103573           ,              1157.1618202982            ,              66.5617808913892 
104.3         ,              452.708884546011           ,             -1044.25428600146           ,              884.491363636364           ,              0.2235       ,             -0.301236363636364          ,              113.528544029816           ,              1138.16182855484           ,              66.5621433011573 
104.4         ,              443.751462216968           ,             -1023.61417443449           ,              884.491363636364           ,              0.2235       ,             -0.301236363636364          ,              113.529185108623           ,              1115.66183869616           ,              66.5625884172325 
104.5         ,              402.262455257951           ,             -1113.21165809009           ,              884.491363636364           ,              0.2235       ,             -0.301236363636364          ,              109.956080036282           ,              1183.66180922501           ,              70.1325369551804 
104.6         ,              393.584701225107           ,             -1089.23362230918           ,              884.491363636364           ,              0.2235       ,             -0.301236363636364          ,              109.956605350418           ,              1158.16181987114           ,              70.1331519042914 
104.7         ,              382.865123344455           ,             -1059.61369603016           ,              884.491363636364           ,              0.2235       ,             -0.301236363636364          ,              109.957287123287           ,              1126.66183368758           ,              70.1339499536802 
105.1         ,              329.467324150411           ,             -1126.3256469452            ,              884.489818181818           ,              0.2288       ,             -0.313581818181818          ,              106.397654001048           ,              1173.52383045652           ,              73.6950173102494 
105.2         ,              324.830029032935           ,             -1110.49070904548           ,              884.489818181818           ,              0.2288       ,             -0.313581818181818          ,              106.398196761846           ,              1157.02383840519           ,              73.6952709100511 
105.3         ,              319.490113800452           ,             -1092.25653829346           ,              884.489818181818           ,              0.2288       ,             -0.313581818181818          ,              106.398841270498           ,              1138.02384784373           ,              73.6955720286157 
